"file","method","entropy"
"data/covid-clean/2020_by_es/2020-06-29_tokens_1-gram.txt","ML",10.0839684786027
"data/covid-clean/2020_by_es/2020-06-29_tokens_1-gram.txt","MM",10.1188935147121
"data/covid-clean/2020_by_es/2020-06-29_tokens_1-gram.txt","Laplace",10.5007276283798
"data/covid-clean/2020_by_es/2020-06-29_tokens_1-gram.txt","CS",10.2348485937459
"data/covid-clean/2020_by_es/2020-06-29_tokens_1-gram.txt","shrink",10.0845801583278
"data/covid-clean/2020_by_es/2020-06-29_tokens_1-gram.txt","Jeffreys",10.3009844413937
"data/covid-clean/2020_by_es/2020-06-29_tokens_1-gram.txt","SG",10.0839744127533
"data/covid-clean/2020_by_es/2020-06-29_tokens_1-gram.txt","minimax",10.0914174878145
