"file","method","entropy"
"data/covid-clean/2020_by_es/2020-05-21_tokens_1-gram.txt","ML",10.0969151758331
"data/covid-clean/2020_by_es/2020-05-21_tokens_1-gram.txt","MM",10.1326188670912
"data/covid-clean/2020_by_es/2020-05-21_tokens_1-gram.txt","Laplace",10.5210022058144
"data/covid-clean/2020_by_es/2020-05-21_tokens_1-gram.txt","CS",10.2505166754389
"data/covid-clean/2020_by_es/2020-05-21_tokens_1-gram.txt","shrink",10.0975330963294
"data/covid-clean/2020_by_es/2020-05-21_tokens_1-gram.txt","Jeffreys",10.3178661489879
"data/covid-clean/2020_by_es/2020-05-21_tokens_1-gram.txt","SG",10.0969211832846
"data/covid-clean/2020_by_es/2020-05-21_tokens_1-gram.txt","minimax",10.104396982271
