"file","method","entropy"
"data/covid-clean/2020_by_es/2020-05-09_tokens_1-gram.txt","ML",10.1190401032191
"data/covid-clean/2020_by_es/2020-05-09_tokens_1-gram.txt","MM",10.156921619634
"data/covid-clean/2020_by_es/2020-05-09_tokens_1-gram.txt","Laplace",10.5572102485398
"data/covid-clean/2020_by_es/2020-05-09_tokens_1-gram.txt","CS",10.2778241597374
"data/covid-clean/2020_by_es/2020-05-09_tokens_1-gram.txt","shrink",10.1197635965274
"data/covid-clean/2020_by_es/2020-05-09_tokens_1-gram.txt","Jeffreys",10.3477169955523
"data/covid-clean/2020_by_es/2020-05-09_tokens_1-gram.txt","SG",10.119046843015
"data/covid-clean/2020_by_es/2020-05-09_tokens_1-gram.txt","minimax",10.1268736754228
