"file","method","entropy","mae","mse","sd","ci"
"data/books/alice29_tokens_1-gram_char.txt","ML",4.32978841347142,0.00298821001220859,1.42723565321487e-05,0.00378527853115648,"[4.3219352862422, 4.33730093868634]"
"data/books/alice29_tokens_1-gram_char.txt","MM",4.33000898080779,0.00298949238044333,1.42792823891222e-05,0.00378576580325634,"[4.32215072410563, 4.33751394005013]"
"data/books/alice29_tokens_1-gram_char.txt","Laplace",4.33085568631398,0.00300491364917932,1.436792376723e-05,0.0037895288450572,"[4.32292458066815, 4.33823193168965]"
"data/books/alice29_tokens_1-gram_char.txt","CS",4.32996859790637,0.00299349081716968,1.43224813610592e-05,0.00378696172544021,"[4.32206489990309, 4.33740405744329]"
"data/books/alice29_tokens_1-gram_char.txt","shrink",4.33026366193863,0.00299405207313074,1.43093008932121e-05,0.00378798558925753,"[4.32238544114368, 4.33774004076291]"
"data/books/alice29_tokens_1-gram_char.txt","Jeffreys",4.33032531057075,0.00299666942268356,1.4317581610679e-05,0.00378727170559605,"[4.32243232560973, 4.33776854932122]"
"data/books/alice29_tokens_1-gram_char.txt","SG",4.32981298690438,0.00298847775079159,1.42736294652951e-05,0.00378531622495071,"[4.32195852811435, 4.33732303581187]"
"data/books/alice29_tokens_1-gram_char.txt","minimax",4.33844264904548,0.00308756058025878,1.5049026241728e-05,0.00381556082641748,"[4.32996061317022, 4.34519606783888]"
